entry_time,intercept,ivol90
2022-01-01 00:00:00+00:00,-2.5153490401663703e-17,-0.0420100178165929
2022-02-01 00:00:00+00:00,-1.3010426069826053e-17,-0.04359441678780967
2022-03-01 00:00:00+00:00,5.551115123125783e-17,-0.07083199780344838
2022-04-01 00:00:00+00:00,7.802102322781299e-19,-0.05997811287525759
2022-05-01 00:00:00+00:00,1.395924799586909e-17,-0.026983480467905146
2022-06-01 00:00:00+00:00,1.58476431682528e-17,-0.02434630946480083
2022-07-01 00:00:00+00:00,7.112366251504909e-17,0.05823958630875695
2022-08-01 00:00:00+00:00,1.0408340855860843e-17,-0.004154956904308401
2022-09-01 00:00:00+00:00,8.673617379884035e-18,-0.05063694304961657
2022-10-01 00:00:00+00:00,4.089971291769483e-18,-0.021443929607040096
2022-11-01 00:00:00+00:00,-2.0383000842727483e-17,-0.03221401333061774
2022-12-01 00:00:00+00:00,3.469446951953614e-18,-0.040233171068488886
2023-01-01 00:00:00+00:00,4.90059381963448e-17,0.19272156840726348
2023-02-01 00:00:00+00:00,2.2551405187698492e-17,-0.013131479437419992
2023-03-01 00:00:00+00:00,2.0816681711721685e-17,-0.035999612715306405
2023-04-01 00:00:00+00:00,-4.336808689942018e-18,-0.003929296937140982
2023-05-01 00:00:00+00:00,2.0816681711721685e-17,0.030599609965155556
2023-06-01 00:00:00+00:00,1.734723475976807e-17,-0.052240520663614315
2023-07-01 00:00:00+00:00,1.0408340855860843e-17,-0.03619002736345726
2023-08-01 00:00:00+00:00,7.806255641895632e-18,-0.06246412034788314
2023-09-01 00:00:00+00:00,-1.0625181290357943e-17,0.002748323162695668
2023-10-01 00:00:00+00:00,-2.8369186772861113e-18,0.018812834475913323
2023-11-01 00:00:00+00:00,-3.469446951953614e-17,0.16474811726322158
2023-12-01 00:00:00+00:00,6.028164079019405e-17,0.04151991053074069
